Designator,Mid X,Mid Y,Layer,Rotation
REF**,37.500497,-76.001002,top,0
REF**,84.500501,-111.001006,top,0
REF**,122.001006,-156.500006,top,0
REF**,144.500005,-111.001003,top,0
REF**,134.500502,-41.000998,top,0
REF**,143.500005,-128.999003,top,0
REF**,85.500501,-58.998999,top,0
REF**,28.000998,-119.500003,top,0
REF**,61.499499,-111.001001,top,0
REF**,177.99901,-163.999015,top,0
REF**,175.49876,-41.000998,top,0
REF**,37.500497,-58.998999,top,0
REF**,165.99902,-33.999498,top,0
REF**,108.499502,-111.001001,top,0
REF**,132.500502,-128.999001,top,0
REF**,71.998998,-85.500001,top,0
REF**,165.999004,-156.500006,top,0
REF**,145.500005,-58.998998,top,0
REF**,153.499508,-128.999005,top,0
REF**,75.001001,-118.500003,top,0
REF**,50.499998,-76.001001,top,0
REF**,37.500497,-93.999,top,0
REF**,71.998998,-155.500006,top,0
REF**,48.499998,-41.000998,top,0
REF**,107.499502,-146.001003,top,0
REF**,40.500497,-163.999003,top,0
REF**,28.000998,-50.499999,top,0
REF**,156.499508,-41.000999,top,0
REF**,37.500497,-163.999002,top,0
REF**,23.501747,-163.999015,top,0
REF**,84.500501,-146.00101,top,0
REF**,118.999002,-154.500006,top,0
REF**,28.000997,-32.332664,top,0
REF**,95.500002,-128.999003,top,0
REF**,51.499998,-128.999004,top,0
REF**,60.499499,-41.000999,top,0
REF**,165.99902,-171.833928,top,0
REF**,28.000998,-156.500006,top,0
REF**,165.999005,-85.500001,top,0
REF**,85.500501,-93.999,top,0
REF**,97.500002,-93.999001,top,0
REF**,131.500502,-41.000998,top,0
REF**,109.499502,-146.001002,top,0
REF**,84.500501,-41.000998,top,0
REF**,28.000998,-118.500003,top,0
REF**,106.499502,-163.999009,top,0
REF**,61.499499,-76.001,top,0
REF**,165.999006,-118.500003,top,0
REF**,48.499998,-111.001004,top,0
REF**,142.500005,-41.000998,top,0
REF**,165.99902,-171.000512,top,0
REF**,28.000997,-166.000012,top,0
REF**,59.499499,-163.999009,top,0
REF**,71.998998,-51.499999,top,0
REF**,75.001002,-86.500001,top,0
REF**,16.834413,-163.999015,top,0
REF**,165.99902,-29.832414,top,0
REF**,108.499502,-76.001,top,0
REF**,48.499998,-76.001001,top,0
REF**,165.99902,-36.499748,top,0
REF**,62.499499,-58.998998,top,0
REF**,118.999001,-121.500003,top,0
REF**,155.499508,-41.000999,top,0
REF**,40.500497,-146.001009,top,0
REF**,176.332176,-41.000998,top,0
REF**,165.99902,-176.001012,top,0
REF**,28.000997,-35.666331,top,0
REF**,153.499508,-58.998998,top,0
REF**,122.001005,-85.500001,top,0
REF**,59.499499,-128.999005,top,0
REF**,156.499508,-111.001001,top,0
REF**,28.000998,-48.499999,top,0
REF**,26.001997,-41.000998,top,0
REF**,143.500005,-58.998999,top,0
REF**,144.500005,-93.999001,top,0
REF**,165.99902,-35.666331,top,0
REF**,118.999001,-156.500006,top,0
REF**,97.500002,-58.998998,top,0
REF**,96.500002,-76.001001,top,0
REF**,75.001001,-48.499999,top,0
REF**,28.000997,-38.166581,top,0
REF**,108.499502,-146.001002,top,0
REF**,165.99902,-33.166081,top,0
REF**,28.000998,-49.499999,top,0
REF**,85.500501,-163.999002,top,0
U1,53.246997,-155.093013,top,90
U1,100.247004,-120.093008,top,90
U1,147.247011,-155.093013,top,90
U1,147.247011,-120.093008,top,90
U1,100.247004,-155.093013,top,90
U1,53.246997,-85.093003,top,90
U1,53.246997,-50.092998,top,90
U1,53.246997,-120.093008,top,90
U1,100.247004,-50.092998,top,90
U1,147.247011,-50.092998,top,90
U1,147.247011,-85.093003,top,90
U1,100.247004,-85.093003,top,90
U2,123.770011,-43.749998,top,-90
U2,29.769997,-78.750003,top,-90
U2,29.769997,-43.749998,top,-90
U2,123.770011,-113.750008,top,-90
U2,123.770011,-78.750003,top,-90
U2,76.770004,-43.749998,top,-90
U2,76.770004,-78.750003,top,-90
U2,29.769997,-148.750013,top,-90
U2,76.770004,-148.750013,top,-90
U2,29.769997,-113.750008,top,-90
U2,76.770004,-113.750008,top,-90
U2,123.770011,-148.750013,top,-90
U3,114.600004,-55.399998,top,90
U3,67.599997,-90.400003,top,90
U3,161.600011,-125.400008,top,90
U3,114.600004,-125.400008,top,90
U3,161.600011,-55.399998,top,90
U3,67.599997,-55.399998,top,90
U3,114.600004,-90.400003,top,90
U3,67.599997,-160.400013,top,90
U3,161.600011,-90.400003,top,90
U3,161.600011,-160.400013,top,90
U3,114.600004,-160.400013,top,90
U3,67.599997,-125.400008,top,90
